text,label
you are fucking beautiful,0
you are fucking amazing,0
this is fucking awesome,0
that game was fucking incredible,0
she is fucking gorgeous,0
this song is fucking great,0
you did a fucking fantastic job,0
that was fucking brilliant,0
he is fucking hilarious,0
this food is fucking delicious,0
you look fucking stunning tonight,0
that movie was fucking perfect,0
this place is fucking beautiful,0
she sings fucking wonderfully,0
that was a fucking great idea,0
this is fucking cool,0
you are fucking awesome at this,0
that sunset is fucking gorgeous,0
this cake tastes fucking amazing,0
he played fucking brilliantly tonight,0
that's fucking excellent work,0
this view is fucking spectacular,0
you are so fucking talented,0
that was fucking impressive,0
this is a fucking masterpiece,0
damn good job on this,0
that's a damn fine performance,0
hella good food at this place,0
this is freaking amazing,0
that was freaking awesome,0
you're bloody brilliant at this,0
this coffee is damn delicious,0
that's a hella nice car,0
you look damn good today,0
this is freaking incredible work,0
you fucking idiot,1
you're a fucking moron,1
that's fucking stupid,1
you fucking suck at this,1
what a fucking mess you made,1
you are fucking pathetic,1
such a fucking loser,1
this is fucking terrible work,1
you fucking liar,1
get fucking lost,1
you're fucking worthless,1
shut your fucking mouth,1
you fucking disgust me,1
what a fucking joke you are,1
you fucking ruined everything,1
this is fucking garbage,1
you're such a fucking coward,1
fucking idiot can't do anything right,1
you fucking failed again,1
that's fucking pathetic behavior,1
